dataset,sequence,device,platform,size,duration_s,distance_m,lidar,point_timing,imu,imu_rate_hz,clock,extrinsics,reference,reference_dof,reference_accuracy,transition_evidence,transition_interval,status,source
GEODE,Shield_tunnel4_gamma,gamma,handheld,2.7GB,340,501.44,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Shield_tunnel5_gamma,gamma,handheld,2.0GB,251,201.32,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Shield_tunnel6_gamma,gamma,handheld,1.8GB,224,205.20,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Shield_tunnel7_beta,beta,handheld,18.1GB,516,602.24,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Shield_tunnel8_beta,beta,handheld,20.4GB,518,708.28,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Shield_tunnel9_beta,beta,handheld,13.2GB,373,525.66,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Shield_tunnel10_beta,beta,handheld,16.4GB,464,632.99,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel1_gamma,gamma,UGV,1.7GB,208,188.31,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel2_alpha,alpha,UGV,3.6GB,282,155.48,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel2_beta,beta,UGV,9.8GB,284,155.48,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel2_gamma,gamma,UGV,2.2GB,261,155.48,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel3_alpha,alpha,UGV,3.2GB,252,182.51,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel3_beta,beta,UGV,9.1GB,255,182.51,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel3_gamma,gamma,UGV,2.1GB,254,182.51,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel4_alpha,alpha,UGV,2.7GB,212,206.96,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel4_beta,beta,UGV,8.3GB,231,206.96,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel4_gamma,gamma,UGV,1.9GB,223,206.96,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel5_alpha,alpha,UGV,3.3GB,244,150.65,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel5_beta,beta,UGV,8.0GB,223,150.65,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Tunneling_tunnel5_gamma,gamma,UGV,2.0GB,232,150.65,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA,T_IMU_LiDAR_provided_direction_needs_check,Leica_MS60_position,3,1mm_instrument_spec,tunnel_geometry,unknown_t04,unsuitable_no_rotation_truth,geode_page_paper_4.4
GEODE,Inland_Waterways_Short_Alpha,alpha,sailboat,4.8GB,472,624.62,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,water_sparse_geometry_no_boundary_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Inland_Waterways_Medium_Alpha,alpha,sailboat,9.2GB,876,1883.72,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,water_sparse_geometry_no_boundary_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Inland_Waterways_Long_Alpha,alpha,sailboat,16.8GB,1616,2781.19,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,water_sparse_geometry_no_boundary_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Inland_Waterways_Short_Beta,beta,sailboat,14.9GB,441,624.62,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,water_sparse_geometry_no_boundary_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Inland_Waterways_Medium_Beta,beta,sailboat,27.6GB,812,1883.72,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,water_sparse_geometry_no_boundary_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Inland_Waterways_Long_Beta,beta,sailboat,54.7GB,1615,2781.19,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,water_sparse_geometry_no_boundary_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Inland_Waterways_Short_Gamma,gamma,sailboat,3.0GB,475,624.62,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,water_sparse_geometry_no_boundary_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Inland_Waterways_Medium_Gamma,gamma,sailboat,5.5GB,838,1883.72,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,water_sparse_geometry_no_boundary_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Inland_Waterways_Long_Gamma,gamma,sailboat,10.8GB,1656,2781.19,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,water_sparse_geometry_no_boundary_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad1_alpha,alpha,UGV,4.6GB,426,439.81,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad1_beta,beta,UGV,14.5GB,418,439.81,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_official_device_label_typo_corrected
GEODE,Offroad1_gamma,gamma,UGV,3.0GB,484,439.81,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad2_alpha,alpha,UGV,4.6GB,427,680.39,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad2_beta,beta,UGV,14.9GB,432,680.39,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad2_gamma,gamma,UGV,3.0GB,421,680.39,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad3_alpha,alpha,UGV,3.2GB,302,469.66,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad3_beta,beta,UGV,11.2GB,326,469.66,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad3_gamma,gamma,UGV,2.3GB,322,469.66,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad4_alpha,alpha,UGV,4.7GB,445,751.78,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad4_beta,beta,UGV,14.7GB,428,751.78,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad4_gamma,gamma,UGV,2.9GB,403,751.78,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad5_alpha,alpha,UGV,5.4GB,506,838.19,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad5_beta,beta,UGV,16.5GB,480,838.19,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad5_gamma,gamma,UGV,3.4GB,478,838.19,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad6_alpha,alpha,UGV,4.9GB,455,455.48,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad6_beta,beta,UGV,14.3GB,416,455.48,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad6_gamma,gamma,UGV,3.1GB,437,455.48,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad7_alpha,alpha,UGV,2.4GB,219,302.03,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad7_beta,beta,UGV,6.3GB,183,302.03,Ouster_OS1-64_10Hz,t_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Offroad7_gamma,gamma,UGV,1.3GB,184,302.03,Livox_Avia_10Hz,unknown_in_published_extract,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,no_transition_documented,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.4
GEODE,Urban_Tunnel01,alpha,vehicle,3.2GB,285,3202.21,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,tunnel_entry_exit_explicit,unknown_t04,provisional_development_candidate,geode_page_paper_4.1_4.4
GEODE,Urban_Tunnel02,alpha,vehicle,3.8GB,342,4747.11,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,tunnel_entry_exit_explicit,unknown_t04,alternative_candidate,geode_page_paper_4.1_4.4
GEODE,Urban_Tunnel03,alpha,vehicle,3.6GB,334,6748.56,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,tunnel_entry_exit_explicit,unknown_t04,alternative_candidate,geode_page_paper_4.1_4.4
GEODE,Bridge01,alpha,vehicle,4.1GB,382,3968.86,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,repetitive_bridge_boundary_not_verified,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.1_4.4
GEODE,Bridge02,alpha,vehicle,4.8GB,472,7678.28,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,repetitive_bridge_boundary_not_verified,unknown_t04,eligible_reference_transition_unknown,geode_page_paper_4.1_4.4
GEODE,Bridge03,alpha,vehicle,3.4GB,320,5023.20,Velodyne_VLP-16_10Hz,time_field_published,Xsens_MTi-30,100,FPGA_GNSS_initialized,T_IMU_LiDAR_provided_direction_needs_check,RTK_INS,6,1cm_instrument_spec,repetitive_bridge_boundary_not_verified,unknown_t04,alternative_if_boundary_verified,geode_page_paper_4.1_4.4
